Ville,Date,Marque,Modèle,Essieus,CARROSSERIE,PTAC,ENERGIE,PUISSANCE,Places assises,PAYS,TYPE,Numéro ligne,USAGE,QUALITE
Ariana,4/10/2025 10:18,KOMATSU,KOMATSU WB93R-5,2 Essieus,TRACTOPELLE,9,GASOIL,18,1,JAPON,TRACTOPELLE,72408,-TRAVAUX PUBLICS,
Ariana,12/23/2025 14:08,CASE,CASE 570ST,2 Essieus,TRACTOPELLE,7.975,GASOIL,16,1,ITALIE,TRACTOPELLE,87889,-TRAVAUX PUBLICS,Proprietaire
Ariana,1/19/2021 10:00,CASE,CASE 570ST,2 Essieus,TRACTOPELLE,0,GASOIL,16,1,ITALIE,TRACTOPELLE,33,,Locataire Leasing
Ariana,5/6/2021 12:00,CATERPILLAR,CATERPILLAR 426F2,2 Essieus,TRACTOPELLE,8.76,GASOIL,18,1,USA,TRACTOPELLE,47,,Locataire Leasing
Ariana,5/6/2021 12:06,CATERPILLAR,CATERPILLAR 426F2,2 Essieus,TRACTOPELLE,8.76,GASOIL,18,1,USA,TRACTOPELLE,49,,Locataire Leasing
Ariana,8/3/2021 12:13,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,5421,,Locataire Leasing
Ariana,8/3/2021 12:15,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,5420,,Locataire Leasing
Ariana,9/15/2021 15:09,KOMATSU,KOMATSU WB93R-2,2 Essieus,TRACTOPELLE,8,GASOIL,16,1,JAPON,TRACTOPELLE,10509,,Proprietaire
Ariana,10/12/2021 14:22,BULL,BULL HD 100,2 Essieus,TRACTOPELLE,9.24,GASOIL,18,1,INDE,TRACTOPELLE,31,,Proprietaire
Ariana,12/30/2021 14:49,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,5426,,Proprietaire
Ariana,1/14/2022 8:58,MAHINDRA,MAHINDRA SX,2 Essieus,TRACTOPELLE,8.5,GASOIL,14,1,INDE,TRACTOPELLE,15404,-TRAVAUX PUBLICS,Proprietaire
Ariana,2/2/2022 0:00,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.77,GASOIL,18,1,TURQUIE,TRACTOPELLE,15374,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,3/15/2022 14:37,KOMATSU,KOMATSU WB93R-5,2 Essieus,TRACTOPELLE,9,GASOIL,18,1,JAPON,TRACTOPELLE,15393,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,3/15/2022 15:12,KOMATSU,KOMATSU WB93R-5,2 Essieus,TRACTOPELLE,9,GASOIL,18,1,JAPON,TRACTOPELLE,15392,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,3/22/2022 14:13,JCB,JCB 3DX,2 Essieus,TRACTOPELLE,12.51,GASOIL,18,1,ROYAUME-UNI,TRACTOPELLE,15381,-INDUSTRIEL,Proprietaire
Ariana,5/10/2022 11:21,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.77,GASOIL,18,1,TURQUIE,TRACTOPELLE,15364,-TRAVAUX PUBLICS,Proprietaire
Ariana,5/13/2022 15:38,JCB,JCB 3CX,2 Essieus,TRACTOPELLE,7.32,GASOIL,18,1,ROYAUME-UNI,TRACTOPELLE,15379,-INDUSTRIEL,Locataire Leasing
Ariana,7/5/2022 10:11,CATERPILLAR,CATERPILLAR 426F2,2 Essieus,TRACTOPELLE,8.76,GASOIL,18,1,USA,TRACTOPELLE,15334,-TRAVAUX PUBLICS,Proprietaire
Ariana,8/25/2022 11:53,KOMATSU,KOMATSU WB93R-5,2 Essieus,TRACTOPELLE,9,GASOIL,18,1,JAPON,TRACTOPELLE,15388,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,10/6/2022 15:36,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.77,GASOIL,18,1,TURQUIE,TRACTOPELLE,15349,-INDUSTRIEL,Locataire Leasing
Ariana,10/11/2022 13:51,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.77,GASOIL,18,1,TURQUIE,TRACTOPELLE,15348,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,10/14/2022 16:13,KOMATSU,KOMATSU WB93R-5,2 Essieus,TRACTOPELLE,9,GASOIL,18,1,JAPON,TRACTOPELLE,15387,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,10/20/2022 9:50,CASE,CASE 570ST,2 Essieus,TRACTOPELLE,9.3,GASOIL,16,1,ITALIE,TRACTOPELLE,15312,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,12/21/2022 11:57,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,15909,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,12/21/2022 11:58,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,15910,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,1/5/2023 10:27,CASE,CASE 580T,2 Essieus,TRACTOPELLE,8.85,GASOIL,18,1,ITALIE,TRACTOPELLE,31922,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,2/20/2023 11:30,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,33076,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,4/24/2023 14:52,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,35638,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,4/24/2023 14:54,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,35639,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,10/31/2023 13:21,CUKUROVA,CUKUROVA 883,2 Essieus,TRACTOPELLE,7.895,GASOIL,18,1,TURQUIE,TRACTOPELLE,44621,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,11/14/2023 15:07,CUKUROVA,CUKUROVA 880S,2 Essieus,TRACTOPELLE,7.745,GASOIL,18,1,TURQUIE,TRACTOPELLE,45879,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,12/1/2023 14:26,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.665,GASOIL,18,1,TURQUIE,TRACTOPELLE,46966,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,12/13/2023 11:02,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.765,GASOIL,18,1,TURQUIE,TRACTOPELLE,46961,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,2/15/2024 0:00,CNH,CNH 580 V,2 Essieus,TRACTOPELLE,8.085,GASOIL,18,1,ITALIE,TRACTOPELLE,49330,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,4/8/2024 11:19,ESCORTS LIMITED,ESCORTS LIMITED DIGMAX II,2 Essieus,TRACTOPELLE,10.78,GASOIL,17,1,INDE,TRACTOPELLE,52515,-TRAVAUX PUBLICS,Proprietaire
Ariana,5/13/2024 9:23,CUKUROVA,CUKUROVA 883,2 Essieus,TRACTOPELLE,7.895,GASOIL,18,1,TURQUIE,TRACTOPELLE,54173,-INDUSTRIEL,Locataire Leasing
Ariana,5/31/2024 13:51,CASE,CASE 570ST,2 Essieus,TRACTOPELLE,7.975,GASOIL,16,1,ITALIE,TRACTOPELLE,55506,-TRAVAUX PUBLICS,Proprietaire
Ariana,6/11/2024 14:27,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.665,GASOIL,18,1,TURQUIE,TRACTOPELLE,55871,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,6/14/2024 14:36,CATERPILLAR,CATERPILLAR 426,2 Essieus,TRACTOPELLE,8.115,GASOIL,18,1,USA,TRACTOPELLE,55859,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,10/9/2024 11:22,HIDROMEK,HIDROMEK 102B,2 Essieus,TRACTOPELLE,8.665,GASOIL,18,1,TURQUIE,TRACTOPELLE,61456,-TRAVAUX PUBLICS,Proprietaire
Ariana,11/27/2024 9:54,CATERPILLAR,CATERPILLAR 426,2 Essieus,TRACTOPELLE,0,GASOIL,18,1,USA,TRACTOPELLE,63374,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,11/27/2024 9:56,CATERPILLAR,CATERPILLAR 426,2 Essieus,TRACTOPELLE,0,GASOIL,18,1,USA,TRACTOPELLE,63376,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,11/27/2024 10:00,CATERPILLAR,CATERPILLAR 426,2 Essieus,TRACTOPELLE,0,GASOIL,18,1,USA,TRACTOPELLE,63373,-TRAVAUX PUBLICS,Locataire Leasing
Ariana,11/27/2024 10:49,KOMATSU,KOMATSU WB93R-5,2 Essieus,TRACTOPELLE,0,GASOIL,18,1,JAPON,TRACTOPELLE,63430,-TRAVAUX PUBLICS,Proprietaire
