Ville,Marque,Année,PUISSANCE_MOY,PTAC_MOY,Prévision,Prévision_arrondie
Ariana,BULL,2026,18.0,9.24,1.53,2
Ariana,CASE,2026,16.0,0.0,1.24,1
Ariana,CASE,2026,16.0,9.3,1.39,1
Ariana,CASE,2026,18.0,8.85,1.58,2
Ariana,CASE,2026,16.0,7.975,1.26,1
Ariana,CATERPILLAR,2026,18.0,8.76,2.0,2
Ariana,CATERPILLAR,2026,18.0,2.02875,1.67,2
Ariana,CATERPILLAR,2026,18.0,8.008333333333333,1.67,2
Ariana,CATERPILLAR,2026,18.0,7.955,1.74,2
Ariana,CNH,2026,18.0,8.085,1.63,2
Ariana,CUKUROVA,2026,18.0,7.82,2.09,2
Ariana,CUKUROVA,2026,18.0,7.895,2.07,2
Ariana,ESCORTS LIMITED,2026,17.0,10.78,2.11,2
Ariana,HIDROMEK,2026,18.0,8.765,3.73,4
Ariana,HIDROMEK,2026,18.0,8.768333333333333,3.78,4
Ariana,HIDROMEK,2026,18.0,8.745000000000001,3.66,4
Ariana,HIDROMEK,2026,18.0,8.665,3.41,3
Ariana,JCB,2026,18.0,9.915,2.88,3
Ariana,JCB,2026,18.0,7.865,2.85,3
Ariana,KOMATSU,2026,16.0,8.0,1.86,2
Ariana,KOMATSU,2026,18.0,9.0,2.58,3
Ariana,KOMATSU,2026,18.0,0.0,2.35,2
Ariana,MAHINDRA,2026,14.0,8.5,1.85,2
Ariana,MECALAC,2026,18.0,7.495,2.34,2
Ariana,NEW HOLLAND,2026,16.0,0.0,1.86,2
Ariana,RIGOR,2026,18.0,0.0,2.34,2
Ariana,SDLG,2026,19.0,8.0,2.32,2
Beja,BOBCAT,2026,18.0,8.255,1.36,1
Beja,CASE,2026,16.0,7.975,1.32,1
Beja,CATERPILLAR,2026,18.0,8.76,2.0,2
Beja,CATERPILLAR,2026,18.0,8.115,1.47,1
Beja,CUKUROVA,2026,18.0,7.895,1.99,2
Beja,HIDROMEK,2026,18.0,8.765,2.5,2
Beja,HIDROMEK,2026,18.0,8.77,2.57,3
Beja,HIDROMEK,2026,18.0,8.665,1.99,2
Beja,JCB,2026,18.0,7.315,1.69,2
Beja,MST,2026,18.0,9.7,1.38,1
Beja,MST,2026,18.0,8.325,1.52,2
Ben Arous,BULL,2026,18.0,9.24,1.55,2
Ben Arous,CASE,2026,18.0,8.85,1.67,2
Ben Arous,CASE,2026,16.0,7.975,1.45,1
Ben Arous,CASE,2026,16.0,0.0,1.36,1
Ben Arous,CATERPILLAR,2026,18.0,8.76,2.26,2
Ben Arous,CATERPILLAR,2026,18.0,8.115,1.67,2
Ben Arous,CATERPILLAR,2026,18.0,7.955,1.85,2
Ben Arous,CNH,2026,16.0,0.0,1.46,1
Ben Arous,CUKUROVA,2026,18.0,7.8975,2.1,2
Ben Arous,CUKUROVA,2026,18.0,7.895,2.07,2
Ben Arous,ESCORTS LIMITED,2026,17.0,10.78,1.74,2
Ben Arous,HIDROMEK,2026,18.0,8.765,2.24,2
Ben Arous,HIDROMEK,2026,18.0,8.77,2.34,2
Ben Arous,HIDROMEK,2026,18.0,8.665,1.79,2
Ben Arous,KOMATSU,2026,18.0,9.0,1.27,1
Ben Arous,MECALAC,2026,18.0,8.43,1.44,1
Ben Arous,MECALAC,2026,18.0,8.105,1.3,1
Ben Arous,MECALAC,2026,18.0,7.800000000000001,1.5,2
Ben Arous,MECALAC,2026,18.0,7.605,1.42,1
Ben Arous,MECALAC,2026,18.0,7.495,1.4,1
Bizerte,CASE,2026,17.0,9.075,1.69,2
Bizerte,CASE,2026,16.0,7.975,1.28,1
Bizerte,CATERPILLAR,2026,18.0,8.3575,1.65,2
Bizerte,CATERPILLAR,2026,18.0,7.96,1.3,1
Bizerte,CATERPILLAR,2026,18.0,8.115,1.23,1
Bizerte,CUKUROVA,2026,18.0,9.5,1.24,1
Bizerte,CUKUROVA,2026,18.0,7.895,1.51,2
Bizerte,ESCORTS LIMITED,2026,17.0,10.78,1.37,1
Bizerte,GEHL,2026,18.0,8.085,1.12,1
Bizerte,HIDROMEK,2026,18.0,8.765,1.58,2
Bizerte,HIDROMEK,2026,18.0,8.665,1.27,1
Bizerte,JCB,2026,16.666666666666668,10.703333333333333,2.95,3
Bizerte,JCB,2026,18.0,7.32,1.18,1
Bizerte,KOMATSU,2026,18.0,9.0,1.12,1
Bizerte,MAHINDRA,2026,14.0,0.0,1.19,1
Bizerte,MECALAC,2026,18.0,9.975,1.18,1
Bizerte,SDLG,2026,19.0,8.0,1.14,1
Djerba,CUKUROVA,2026,18.0,7.895,1.48,1
Djerba,NEW HOLLAND,2026,18.0,0.0,1.16,1
Gabes,BOBCAT,2026,18.0,8.255,1.11,1
Gabes,CASE,2026,16.0,0.0,1.12,1
Gabes,CASE,2026,17.0,8.030000000000001,1.28,1
Gabes,CASE,2026,16.0,7.975,1.19,1
Gabes,CATERPILLAR,2026,18.0,7.955,1.38,1
Gabes,CATERPILLAR,2026,18.0,8.76,1.36,1
Gabes,CATERPILLAR,2026,18.0,8.115,1.09,1
Gabes,CUKUROVA,2026,18.0,9.5,1.06,1
Gabes,ESCORTS LIMITED,2026,17.0,10.78,1.2,1
Gabes,GEHL,2026,18.0,8.09,1.02,1
Gabes,HIDROMEK,2026,18.0,8.765,1.33,1
Gabes,HIDROMEK,2026,18.0,8.665,1.14,1
Gabes,JCB,2026,16.0,9.8,3.5,3
Gabes,JCB,2026,18.0,7.32,1.14,1
Gabes,JCB,2026,18.0,12.51,1.15,1
Gabes,KOMATSU,2026,18.0,9.0,1.04,1
Gabes,MAHINDRA,2026,14.0,8.5,1.12,1
Gabes,MAHINDRA,2026,14.0,0.0,1.16,1
Gabes,MST,2026,18.0,9.7,1.05,1
Gabes,NEW HOLLAND,2026,16.0,7.715,1.33,1
Gabes,SDLG,2026,19.0,8.0,1.11,1
Gafsa,BULL,2026,18.0,9.24,1.09,1
Gafsa,CASE,2026,16.0,9.3,1.1,1
Gafsa,CASE,2026,18.0,8.85,1.15,1
Gafsa,CASE,2026,18.0,8.085,1.06,1
Gafsa,CATERPILLAR,2026,18.0,8.115,1.08,1
Gafsa,CUKUROVA,2026,18.0,7.82,1.49,1
Gafsa,ESCORTS LIMITED,2026,17.0,10.78,1.06,1
Gafsa,HIDROMEK,2026,18.0,8.765,1.32,1
Gafsa,HIDROMEK,2026,18.0,8.665,1.15,1
Gafsa,HIDROMEK,2026,18.0,5.776666666666666,1.15,1
Gafsa,JCB,2026,18.0,12.51,1.07,1
Gafsa,JCB,2026,18.0,7.865,1.25,1
Gafsa,KOMATSU,2026,18.0,9.0,1.02,1
Gafsa,MAHINDRA,2026,14.0,7.975,1.11,1
Gafsa,MECALAC,2026,18.0,9.975,1.02,1
Gafsa,MECALAC,2026,18.0,7.495,1.14,1
Gafsa,MST,2026,18.0,9.7,1.01,1
Gafsa,NEW HOLLAND,2026,16.0,3.8575,1.28,1
Jendouba,CASE,2026,16.0,9.3,1.13,1
Jendouba,CATERPILLAR,2026,18.0,0.0,1.26,1
Jendouba,ESCORTS LIMITED,2026,17.0,10.78,1.08,1
Jendouba,GEHL,2026,18.0,8.085,1.11,1
Jendouba,HIDROMEK,2026,18.0,8.665,1.37,1
Jendouba,JCB,2026,18.0,7.865,1.38,1
Jendouba,KOMATSU,2026,18.0,9.0,1.07,1
Jendouba,MAHINDRA,2026,14.0,7.745,1.21,1
Jendouba,MECALAC,2026,18.0,9.975,1.04,1
Jendouba,MECALAC,2026,18.0,9.98,1.02,1
Jendouba,MECALAC,2026,18.0,7.495,1.18,1
Jendouba,NEW HOLLAND,2026,16.0,0.0,1.24,1
Jendouba,SDLG,2026,19.0,8.0,1.16,1
Kairouan,BULL,2026,18.0,9.24,1.17,1
Kairouan,CASE,2026,17.0,9.075,1.56,2
Kairouan,CASE,2026,18.0,8.085,1.17,1
Kairouan,CUKUROVA,2026,18.0,7.8,1.59,2
Kairouan,CUKUROVA,2026,18.0,7.895,1.51,2
Kairouan,GEHL,2026,18.0,8.085,1.12,1
Kairouan,HIDROMEK,2026,18.0,8.77,1.63,2
Kairouan,HIDROMEK,2026,18.0,8.665,1.37,1
Kairouan,KOMATSU,2026,18.0,9.0,1.08,1
Kairouan,MAHINDRA,2026,14.0,7.975,1.12,1
Kairouan,MAHINDRA,2026,14.0,8.295,1.27,1
Kairouan,MAXBULL,2026,17.0,0.0,1.21,1
Kairouan,MECALAC,2026,18.0,8.105,1.09,1
Kairouan,MECALAC,2026,18.0,7.495,1.16,1
Kairouan,MST,2026,18.0,9.7,1.03,1
Kairouan,MST,2026,18.0,8.325,1.28,1
Kairouan,NEW HOLLAND,2026,16.0,7.715,1.31,1
Kasserine,CASE,2026,16.0,9.3,1.13,1
Kasserine,CASE,2026,16.0,7.975,1.18,1
Kasserine,CATERPILLAR,2026,18.0,8.76,1.44,1
Kasserine,CATERPILLAR,2026,18.0,8.115,1.1,1
Kasserine,CATERPILLAR,2026,18.0,8.061666666666667,1.1,1
Kasserine,CUKUROVA,2026,18.0,7.745,1.18,1
Kasserine,ESCORTS LIMITED,2026,17.0,10.78,1.08,1
Kasserine,HIDROMEK,2026,18.0,8.77,1.38,1
Kasserine,HIDROMEK,2026,18.0,8.665,1.24,1
Kasserine,KOMATSU,2026,18.0,9.0,1.03,1
Kasserine,MECALAC,2026,18.0,9.975,1.02,1
Kasserine,MST,2026,18.0,9.7,1.01,1
Kasserine,MST,2026,18.0,10.35,1.03,1
Kasserine,MST,2026,18.0,8.325,1.25,1
Kebili,CASE,2026,18.0,8.85,1.18,1
Kebili,CASE,2026,16.0,0.0,1.07,1
Kebili,CASE,2026,18.0,8.085,1.08,1
Kebili,CASE,2026,17.6,6.468000000000001,1.31,1
Kebili,CATERPILLAR,2026,18.0,8.76,1.4,1
Kebili,CUKUROVA,2026,18.0,9.5,1.05,1
Kebili,CUKUROVA,2026,18.0,7.895,1.3,1
Kebili,GEHL,2026,18.0,8.085,1.05,1
Kebili,HIDROMEK,2026,18.0,8.77,1.29,1
Kebili,KOMATSU,2026,18.0,9.0,1.1,1
Kebili,MAHINDRA,2026,14.0,8.045,1.26,1
Kebili,MECALAC,2026,18.0,8.105,1.09,1
Kebili,MST,2026,18.0,9.7,1.08,1
Kebili,NEW HOLLAND,2026,16.0,7.74,1.37,1
Kebili,NEW HOLLAND,2026,16.0,7.715,1.42,1
Le Kef,CASE,2026,16.0,9.3,1.11,1
Le Kef,CASE,2026,16.0,7.975,1.18,1
Le Kef,CUKUROVA,2026,18.0,7.745,1.18,1
Le Kef,HIDROMEK,2026,18.0,9.235,1.15,1
Le Kef,HIDROMEK,2026,18.0,8.665,1.18,1
Le Kef,JCB,2026,18.0,12.51,1.1,1
Le Kef,JCB,2026,18.0,7.865,1.27,1
Le Kef,KOMATSU,2026,18.0,0.0,1.22,1
Le Kef,MAHINDRA,2026,14.0,8.5,1.19,1
Le Kef,MST,2026,18.0,9.7,1.25,1
Le Kef,MST,2026,18.0,8.325,1.32,1
Mahdia,BULL,2026,18.0,9.24,1.13,1
Mahdia,CASE,2026,16.0,9.3,1.2,1
Mahdia,CASE,2026,16.0,7.975,1.24,1
Mahdia,CASE,2026,16.0,0.0,1.13,1
Mahdia,CATERPILLAR,2026,18.0,7.96,1.12,1
Mahdia,CATERPILLAR,2026,18.0,8.76,1.26,1
Mahdia,HIDROMEK,2026,18.0,8.765,1.26,1
Mahdia,HIDROMEK,2026,18.0,8.665,1.16,1
