Ville,Marque,Prévision_totale,Prévision_moyenne,Nombre_combinaisons
Tunis,CATERPILLAR,14.63,2.44,6
Ariana,HIDROMEK,14.58,3.64,4
Sfax,CATERPILLAR,9.66,1.93,5
Sousse,CATERPILLAR,9.46,1.89,5
Tunis,JCB,9.23,2.31,4
Tunis,CASE,8.04,2.01,4
Sidi Bouzid,CASE,7.89,1.97,4
Nabeul,HIDROMEK,7.85,1.96,4
Tataouine,MECALAC,7.5,2.5,3
Tunis,MECALAC,7.36,2.45,3
Sousse,CASE,7.34,2.45,3
Zaghouan,HIDROMEK,7.13,1.78,4
Ariana,CATERPILLAR,7.08,1.77,4
Ben Arous,MECALAC,7.06,1.41,5
Beja,HIDROMEK,7.06,2.35,3
Tataouine,HIDROMEK,7.0,2.33,3
Sfax,JCB,6.84,2.28,3
Ariana,KOMATSU,6.79,2.26,3
Tunis,HIDROMEK,6.5,2.17,3
Ben Arous,HIDROMEK,6.37,2.12,3
Sfax,HIDROMEK,6.33,2.11,3
Tunis,MST,6.08,3.04,2
Tunis,KOMATSU,6.02,3.01,2
Sousse,MECALAC,5.85,1.95,3
Gabes,JCB,5.79,1.93,3
Ben Arous,CATERPILLAR,5.78,1.93,3
Siliana,HIDROMEK,5.76,1.44,4
Ariana,JCB,5.73,2.86,2
Nabeul,CASE,5.68,1.89,3
Ariana,CASE,5.47,1.37,4
Nabeul,JCB,5.45,1.82,3
Tunis,BOBCAT,5.36,2.68,2
Sfax,MECALAC,5.19,1.3,4
Medenine,CATERPILLAR,4.93,1.23,4
Monastir,HIDROMEK,4.91,1.64,3
Sousse,MAHINDRA,4.88,2.44,2
Tunis,MAHINDRA,4.81,2.41,2
Sidi Bouzid,NEW HOLLAND,4.75,1.58,3
Sfax,NEW HOLLAND,4.65,1.55,3
Kebili,CASE,4.64,1.16,4
Tunis,NEW HOLLAND,4.49,2.24,2
Ben Arous,CASE,4.48,1.49,3
Sidi Bouzid,CATERPILLAR,4.24,1.41,3
Bizerte,CATERPILLAR,4.18,1.39,3
Ben Arous,CUKUROVA,4.17,2.08,2
Ariana,CUKUROVA,4.16,2.08,2
Bizerte,JCB,4.13,2.06,2
Nabeul,MECALAC,4.1,1.37,3
Tozeur,CASE,4.05,2.02,2
Monastir,MAHINDRA,4.02,1.34,3
Medenine,HIDROMEK,3.93,1.31,3
Nabeul,CUKUROVA,3.88,1.29,3
Sousse,HIDROMEK,3.85,1.92,2
Gabes,CATERPILLAR,3.83,1.28,3
Sidi Bouzid,MECALAC,3.83,1.28,3
Tataouine,CATERPILLAR,3.8,1.9,2
Monastir,MECALAC,3.76,1.25,3
Monastir,CATERPILLAR,3.75,1.25,3
Mahdia,MECALAC,3.67,1.22,3
Kasserine,CATERPILLAR,3.64,1.21,3
Gafsa,HIDROMEK,3.62,1.21,3
Sfax,CASE,3.6,1.8,2
Gabes,CASE,3.59,1.2,3
Mahdia,CASE,3.57,1.19,3
Beja,CATERPILLAR,3.47,1.74,2
Zaghouan,KOMATSU,3.46,3.46,1
Mahdia,JCB,3.45,3.45,1
Zaghouan,CASE,3.41,1.7,2
Siliana,CASE,3.4,1.7,2
Gafsa,CASE,3.31,1.1,3
Kasserine,MST,3.29,1.1,3
Jendouba,MECALAC,3.24,1.08,3
Medenine,JCB,3.23,3.23,1
Tataouine,CASE,3.17,1.58,2
Tozeur,KOMATSU,3.12,3.12,1
Kairouan,CUKUROVA,3.1,1.55,2
Mahdia,MAHINDRA,3.06,1.53,2
Tataouine,KOMATSU,3.02,3.02,1
Kairouan,HIDROMEK,3.0,1.5,2
Bizerte,CASE,2.97,1.48,2
Beja,MST,2.9,1.45,2
Bizerte,HIDROMEK,2.85,1.42,2
Zarzis,MECALAC,2.85,2.85,1
Sousse,CUKUROVA,2.84,1.42,2
Sidi Bouzid,MST,2.82,1.41,2
Tozeur,JCB,2.81,2.81,1
Kebili,NEW HOLLAND,2.79,1.4,2
Bizerte,CUKUROVA,2.75,1.38,2
Kairouan,CASE,2.73,1.36,2
Sidi Bouzid,MAHINDRA,2.63,1.32,2
Kasserine,HIDROMEK,2.62,1.31,2
Sidi Bouzid,HIDROMEK,2.58,1.29,2
Le Kef,MST,2.57,1.28,2
Medenine,NEW HOLLAND,2.56,1.28,2
Manouba,CASE,2.51,1.25,2
Gabes,HIDROMEK,2.47,1.23,2
Medenine,MECALAC,2.46,1.23,2
Mahdia,HIDROMEK,2.42,1.21,2
Medenine,CASE,2.41,1.2,2
Monastir,CUKUROVA,2.4,1.2,2
Kairouan,MAHINDRA,2.39,1.2,2
Mahdia,CATERPILLAR,2.38,1.19,2
Le Kef,JCB,2.37,1.18,2
Kebili,CUKUROVA,2.35,1.18,2
Ariana,RIGOR,2.34,2.34,1
Ariana,MECALAC,2.34,2.34,1
Le Kef,HIDROMEK,2.33,1.16,2
Manouba,CATERPILLAR,2.33,1.16,2
Ariana,SDLG,2.32,2.32,1
Gafsa,JCB,2.32,1.16,2
Kasserine,CASE,2.31,1.15,2
Kairouan,MST,2.31,1.16,2
Le Kef,CASE,2.29,1.14,2
Gabes,MAHINDRA,2.28,1.14,2
Tataouine,SDLG,2.25,2.25,1
Kairouan,MECALAC,2.25,1.12,2
Sousse,KOMATSU,2.2,2.2,1
Gafsa,MECALAC,2.16,1.08,2
Tataouine,RIGOR,2.14,2.14,1
Tataouine,ESCORTS LIMITED,2.13,2.13,1
Ariana,ESCORTS LIMITED,2.11,2.11,1
Tunis,SDLG,2.07,2.07,1
Beja,CUKUROVA,1.99,1.99,1
Zaghouan,MECALAC,1.93,1.93,1
Sousse,BOBCAT,1.89,1.89,1
Ariana,NEW HOLLAND,1.86,1.86,1
Ariana,MAHINDRA,1.85,1.85,1
Ben Arous,ESCORTS LIMITED,1.74,1.74,1
Beja,JCB,1.69,1.69,1
Ariana,CNH,1.63,1.63,1
Nabeul,MST,1.6,1.6,1
Tataouine,CUKUROVA,1.58,1.58,1
Tunis,GEHL,1.56,1.56,1
Nabeul,ESCORTS LIMITED,1.56,1.56,1
Ben Arous,BULL,1.55,1.55,1
Sousse,BULL,1.54,1.54,1
Ariana,BULL,1.53,1.53,1
Tozeur,CUKUROVA,1.52,1.52,1
Tunis,BULL,1.51,1.51,1
Nabeul,CATERPILLAR,1.51,1.51,1
Gafsa,CUKUROVA,1.49,1.49,1
Djerba,CUKUROVA,1.48,1.48,1
Ben Arous,CNH,1.46,1.46,1
Tunis,CUKUROVA,1.4,1.4,1
Kebili,CATERPILLAR,1.4,1.4,1
Jendouba,JCB,1.38,1.38,1
Sfax,MST,1.37,1.37,1
Jendouba,HIDROMEK,1.37,1.37,1
Bizerte,ESCORTS LIMITED,1.37,1.37,1
Nabeul,BULL,1.36,1.36,1
Beja,BOBCAT,1.36,1.36,1
Zaghouan,CUKUROVA,1.35,1.35,1
Sfax,CUKUROVA,1.33,1.33,1
Nabeul,KOMATSU,1.33,1.33,1
Gabes,NEW HOLLAND,1.33,1.33,1
Beja,CASE,1.32,1.32,1
Monastir,JCB,1.32,1.32,1
Sfax,BULL,1.32,1.32,1
Kairouan,NEW HOLLAND,1.31,1.31,1
Zaghouan,BULL,1.31,1.31,1
Siliana,MAHINDRA,1.3,1.3,1
Kebili,HIDROMEK,1.29,1.29,1
Gafsa,NEW HOLLAND,1.28,1.28,1
Medenine,BULL,1.27,1.27,1
Manouba,JCB,1.27,1.27,1
Ben Arous,KOMATSU,1.27,1.27,1
Jendouba,CATERPILLAR,1.26,1.26,1
Kebili,MAHINDRA,1.26,1.26,1
Medenine,RIGOR,1.25,1.25,1
Monastir,BULL,1.25,1.25,1
Sidi Bouzid,JCB,1.24,1.24,1
Jendouba,NEW HOLLAND,1.24,1.24,1
Sfax,KOMATSU,1.23,1.23,1
Manouba,SDLG,1.22,1.22,1
Sidi Bouzid,KOMATSU,1.22,1.22,1
Siliana,KOMATSU,1.22,1.22,1
Monastir,SDLG,1.22,1.22,1
Le Kef,KOMATSU,1.22,1.22,1
Kairouan,MAXBULL,1.21,1.21,1
Jendouba,MAHINDRA,1.21,1.21,1
