Ville,Prévision_totale,Prévision_moyenne,Nombre_combinaisons
Tunis,79.06,2.33,34
Ariana,59.79,2.21,27
Sfax,42.67,1.71,25
Sousse,39.85,1.99,20
Nabeul,34.32,1.63,21
Ben Arous,33.88,1.69,20
Tataouine,32.59,2.17,15
Sidi Bouzid,32.37,1.47,22
Gabes,26.88,1.28,21
Monastir,26.15,1.31,20
Medenine,24.35,1.35,18
Bizerte,24.0,1.41,17
Kairouan,21.67,1.27,17
Gafsa,20.55,1.14,18
Beja,19.79,1.8,11
Mahdia,19.68,1.41,14
Zaghouan,18.59,1.86,10
Kebili,18.05,1.2,15
Kasserine,16.17,1.16,14
Jendouba,15.25,1.17,13
Siliana,15.15,1.38,11
Le Kef,13.15,1.2,11
Manouba,11.9,1.19,10
Tozeur,11.5,2.3,5
Zarzis,2.85,2.85,1
Djerba,2.64,1.32,2
